date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:07:14	1199611/1199611	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Sep%202022%2021:07:13%20GMT	https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml	C:/Meus%20Sites/wdadadad/g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.html	(from )
18:07:15	225/225	---M-Z	200	added ('OK')	text/plain	etag:W/%226328ba37-1b1%22	https://g1.globo.com/robots.txt		(from )
18:07:15	282619/282619	---M--	200	added ('OK')	text/javascript	etag:%22d846f64d6544327b%22	https://cdn.ampproject.org/v0.js	C:/Meus%20Sites/wdadadad/cdn.ampproject.org/v0.js	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:16	135586/135586	---M-Z	200	added ('OK')	text/html	etag:%22268eba3af758444360eead588bdb64b3:1663358437.380905%22	http://tags.globo.com/utag/globo/g1/prod/utag.js	C:/Meus%20Sites/wdadadad/tags.globo.com/utag/globo/g1/prod/utag.html	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:16	82174/82174	---M--	200	added ('OK')	text/javascript	etag:%221339%20/%20577%20of%201000%20/%20last-modified:%201663585777%22	https://securepubads.g.doubleclick.net/tag/js/gpt.js	C:/Meus%20Sites/wdadadad/securepubads.g.doubleclick.net/tag/js/gpt.js	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:16	1554/1554	---M--	200	added ('OK')	image/png	etag:%22ac38a891eedaba4f8f63df9475c10c8b586b78ea%22	https://s2.glbimg.com/t2_E-_cSErv4fsbUVhwwEN0YMX0=/32x32/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2021/H/w/YbA657S3aYVfC0P9wboQ/g1-favicon.png	C:/Meus%20Sites/wdadadad/s2.glbimg.com/t2_E-_cSErv4fsbUVhwwEN0YMX0=/32x32/smart/filters_strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2021/H/w/YbA657S3aYVfC0P9wboQ/g1-favicon.png	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:17	8568/8568	---M--	200	added ('OK')	image/png	etag:%22ee946de6d33eaa0f07494bfb82533f22a85bf310%22	https://s2.glbimg.com/7_CSJ0a2BppGqptPkB7fE1Hacok=/128x128/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2021/H/w/YbA657S3aYVfC0P9wboQ/g1-favicon.png	C:/Meus%20Sites/wdadadad/s2.glbimg.com/7_CSJ0a2BppGqptPkB7fE1Hacok=/128x128/smart/filters_strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2021/H/w/YbA657S3aYVfC0P9wboQ/g1-favicon.png	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:17	11163/11163	---M--	200	added ('OK')	image/png	etag:%223e2723dae727cd1edbc0706ec10daa542fb004ff%22	https://s2.glbimg.com/szHLoTRvs6YWm9NNieGM7KU2eEE=/152x152/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2021/H/w/YbA657S3aYVfC0P9wboQ/g1-favicon.png	C:/Meus%20Sites/wdadadad/s2.glbimg.com/szHLoTRvs6YWm9NNieGM7KU2eEE=/152x152/smart/filters_strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2021/H/w/YbA657S3aYVfC0P9wboQ/g1-favicon.png	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:17	13052/13052	---M--	200	added ('OK')	image/png	etag:%2205ebc4363fe4bf6429efe6f0ece72108e74dde66%22	https://s2.glbimg.com/SU2Z6rs9rolyarVbXBSjaN6J0Jw=/167x167/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2021/H/w/YbA657S3aYVfC0P9wboQ/g1-favicon.png	C:/Meus%20Sites/wdadadad/s2.glbimg.com/SU2Z6rs9rolyarVbXBSjaN6J0Jw=/167x167/smart/filters_strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2021/H/w/YbA657S3aYVfC0P9wboQ/g1-favicon.png	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:17	14584/14584	---M--	200	added ('OK')	image/png	etag:%2290c3e4b4ca2ba1ef68129135d4376e1e6811b5a4%22	https://s2.glbimg.com/S1o7u7ulLX54NM6X_pRUSid8yXg=/180x180/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2021/H/w/YbA657S3aYVfC0P9wboQ/g1-favicon.png	C:/Meus%20Sites/wdadadad/s2.glbimg.com/S1o7u7ulLX54NM6X_pRUSid8yXg=/180x180/smart/filters_strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2021/H/w/YbA657S3aYVfC0P9wboQ/g1-favicon.png	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:17	16483/16483	---M--	200	added ('OK')	image/png	etag:%227ae6045badd9d2bd0a6226e6ef628384cb2bfb72%22	https://s2.glbimg.com/ANFXvAeR8V-2tbOMMP9tc2qFqJA=/192x192/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2021/H/w/YbA657S3aYVfC0P9wboQ/g1-favicon.png	C:/Meus%20Sites/wdadadad/s2.glbimg.com/ANFXvAeR8V-2tbOMMP9tc2qFqJA=/192x192/smart/filters_strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2021/H/w/YbA657S3aYVfC0P9wboQ/g1-favicon.png	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:18	16701/16701	---M--	200	added ('OK')	image/png	etag:%22e23b01308f7625f7609b7f5a1d94810f0bf5c7db%22	https://s2.glbimg.com/LsuKXSXhHyq6vHO3DX_fXzijkCg=/196x196/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2021/H/w/YbA657S3aYVfC0P9wboQ/g1-favicon.png	C:/Meus%20Sites/wdadadad/s2.glbimg.com/LsuKXSXhHyq6vHO3DX_fXzijkCg=/196x196/smart/filters_strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2021/H/w/YbA657S3aYVfC0P9wboQ/g1-favicon.png	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:18	3032/3032	---M--	200	added ('OK')	image/png	etag:%22a5e38682ec4d0132867b72e9dab0c3a0fbc27a66%22	https://s2.glbimg.com/GpmOCEG_6A1NUKWKtbzFpijsyR0=/57x57/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2021/H/w/YbA657S3aYVfC0P9wboQ/g1-favicon.png	C:/Meus%20Sites/wdadadad/s2.glbimg.com/GpmOCEG_6A1NUKWKtbzFpijsyR0=/57x57/smart/filters_strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2021/H/w/YbA657S3aYVfC0P9wboQ/g1-favicon.png	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:18	3924/3924	---M--	200	added ('OK')	image/png	etag:%2202e6e464077830af5cb26565d52f45a9e01294df%22	https://s2.glbimg.com/ntE_GO6uMpnPlZ2uD5ueQavJQNE=/72x72/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2021/H/w/YbA657S3aYVfC0P9wboQ/g1-favicon.png	C:/Meus%20Sites/wdadadad/s2.glbimg.com/ntE_GO6uMpnPlZ2uD5ueQavJQNE=/72x72/smart/filters_strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2021/H/w/YbA657S3aYVfC0P9wboQ/g1-favicon.png	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:18	7189/7189	---M--	200	added ('OK')	image/png	etag:%2221945e1916df943cf7458b4cfb522ec860ade19c%22	https://s2.glbimg.com/aFlLEuzGSYw2KtjvARZnCsFtgnk=/114x114/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2021/H/w/YbA657S3aYVfC0P9wboQ/g1-favicon.png	C:/Meus%20Sites/wdadadad/s2.glbimg.com/aFlLEuzGSYw2KtjvARZnCsFtgnk=/114x114/smart/filters_strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2021/H/w/YbA657S3aYVfC0P9wboQ/g1-favicon.png	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:19	4166/4166	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Sep%202022%2021:07:19%20GMT	https://g1.globo.com/mundo/noticia/2022/09/19/g1.globo.com/busca	C:/Meus%20Sites/wdadadad/g1.globo.com/mundo/noticia/2022/09/19/g1.globo.com/busca	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:19	14270/14270	---M--	200	added ('OK')	text/javascript	etag:%22f592fb27ed60a4b6%22	https://cdn.ampproject.org/v0/amp-social-share-0.1.js	C:/Meus%20Sites/wdadadad/cdn.ampproject.org/v0/amp-social-share-0.1.js	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:20	37829/37829	---M--	200	added ('OK')	text/javascript	etag:%222e51bcbe50c657eb%22	https://cdn.ampproject.org/v0/amp-timeago-0.1.js	C:/Meus%20Sites/wdadadad/cdn.ampproject.org/v0/amp-timeago-0.1.js	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:20	7007/7007	---M--	200	added ('OK')	text/javascript	etag:%223775c43cd695f183%22	https://cdn.ampproject.org/v0/amp-fit-text-0.1.js	C:/Meus%20Sites/wdadadad/cdn.ampproject.org/v0/amp-fit-text-0.1.js	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:20	51170/51170	---M--	200	added ('OK')	text/javascript	etag:%221400b402b0d25bd7%22	https://cdn.ampproject.org/v0/amp-bind-0.1.js	C:/Meus%20Sites/wdadadad/cdn.ampproject.org/v0/amp-bind-0.1.js	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:21	66516/66516	---M--	200	added ('OK')	text/javascript	etag:%22de2e664291d8e09b%22	https://cdn.ampproject.org/v0/amp-lightbox-gallery-0.1.js	C:/Meus%20Sites/wdadadad/cdn.ampproject.org/v0/amp-lightbox-gallery-0.1.js	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:21	38779/38779	---M--	200	added ('OK')	text/javascript	etag:%22bdb1289c1342de4c%22	https://cdn.ampproject.org/v0/amp-carousel-0.1.js	C:/Meus%20Sites/wdadadad/cdn.ampproject.org/v0/amp-carousel-0.1.js	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:21	52575/52575	---M--	200	added ('OK')	text/javascript	etag:%22d6411a1a60cfe218%22	https://cdn.ampproject.org/v0/amp-video-0.1.js	C:/Meus%20Sites/wdadadad/cdn.ampproject.org/v0/amp-video-0.1.js	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:22	7829/7829	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2029%20Jun%202022%2016:51:53%20GMT	https://s3.glbimg.com/v1/AUTH_f7d75b8ab8c8447292333ff06480419a/nav-cdn/client/1.1.1/fn-cdn-client.min.js	C:/Meus%20Sites/wdadadad/s3.glbimg.com/v1/AUTH_f7d75b8ab8c8447292333ff06480419a/nav-cdn/client/1.1.1/fn-cdn-client.min.js	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:22	1302/1302	---M--	200	added ('OK')	image/jpeg	etag:%22608140a02aae76fec26361a6b105e49c76168ee5%22	https://s2.glbimg.com/XX1zfv_-_Cl1w4Sb6H86vPKJXps=/48x48/smart/filters:strip_icc()/s2.glbimg.com/hmaHHrcngArLTTw6SlfsHUxYdZE%3D/200x0/filters%3Aquality(70)/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2018/O/W/HwkTzFSHWacfk1GndHhg/bbc-news-tile-hr-rgb.jpg	C:/Meus%20Sites/wdadadad/s2.glbimg.com/XX1zfv_-_Cl1w4Sb6H86vPKJXps=/48x48/smart/filters_strip_icc()/s2.glbimg.com/hmaHHrcngArLTTw6SlfsHUxYdZE=/200x0/filters_quality(70)/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37/bbc-news-tile-hr-rgb.17	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:22	2336/2336	---M--	200	added ('OK')	image/png	etag:%2261607cb4-920%22	https://s.glbimg.com/jo/g1/static/live/g1_amp/img/g1_logo_json_ld.png	C:/Meus%20Sites/wdadadad/s.glbimg.com/jo/g1/static/live/g1_amp/img/g1_logo_json_ld.png	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:23	1199611/1199611	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Sep%202022%2021:07:22%20GMT	https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml?utm_source=facebook&utm_medium=share-bar-desktop&utm_campaign=materias	C:/Meus%20Sites/wdadadad/g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral93b4.html	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:24	1199611/1199611	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Sep%202022%2021:07:23%20GMT	https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml?utm_source=linkedin&utm_medium=share-bar-desktop&utm_campaign=materias	C:/Meus%20Sites/wdadadad/g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral8c3b.html	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:24	141957/141957	---M--	200	added ('OK')	image/jpeg	etag:%22f49ceb82ebecd3cded2eda66e252122f275c9e6c%22	https://www.oliberal.com/image/contentid/policy:1.486673:1642940133/image.jpg?a=191%3A100&q=0.6&w=1200&$p$a$q$w=e3c1d56	C:/Meus%20Sites/wdadadad/s2.glbimg.com/otzXkcFg0R7jf3ULE_nYrAPd9yI=/0x0_1200x628/984x0/smart/filters_strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2022/O/B/1yisAYR02MRAOpF6A/a-fotografia-da-rainha-	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:25	1246189/1246189	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Sep%202022%2021:07:24%20GMT	https://g1.globo.com/mundo/noticia/2022/09/19/fotos-funeral-da-rainha-elizabeth-ii.ghtml	C:/Meus%20Sites/wdadadad/g1.globo.com/mundo/noticia/2022/09/19/fotos-funeral-da-rainha-elizabeth-ii.html	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:26	1296111/1296111	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Sep%202022%2021:07:24%20GMT	https://g1.globo.com/mundo/noticia/2022/09/19/funeral-da-rainha-elizabeth-ii.ghtml	C:/Meus%20Sites/wdadadad/g1.globo.com/mundo/noticia/2022/09/19/funeral-da-rainha-elizabeth-ii.html	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:26	232796/232796	---M-Z	200	added ('OK')	application/javascript	etag:%22b2a97340af12eabf1f156f096783b4ba%22	https://aswpsdkus.com/notify/v1/ua-sdk.min.js	C:/Meus%20Sites/wdadadad/aswpsdkus.com/notify/v1/ua-sdk.min.js	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:27	1278963/1278963	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Sep%202022%2021:07:26%20GMT	https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-ii-onde-sera-enterrada-a-rainha-e-quais-outros-monarcas-estao-enterrados-no-local.ghtml	C:/Meus%20Sites/wdadadad/g1.globo.com/mundo/noticia/2022/09/19/elizabeth-ii-onde-sera-enterrada-a-rainha-e-quais-outros-monarcas-estao-enterrados-no-local.html	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:28	1270772/1270772	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Sep%202022%2021:07:26%20GMT	https://g1.globo.com/mundo/noticia/2022/09/19/cachorros-e-ponei-de-elizabeth-ii-participam-de-cerimonia-funebre-da-rainha.ghtml	C:/Meus%20Sites/wdadadad/g1.globo.com/mundo/noticia/2022/09/19/cachorros-e-ponei-de-elizabeth-ii-participam-de-cerimonia-funebre-da-rainha.html	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:29	1272931/1272931	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Sep%202022%2021:07:27%20GMT	https://g1.globo.com/mundo/noticia/2022/09/19/19-de-setembro-a-surpreendente-coincidencia-de-datas-de-grandes-terremotos-no-mexico.ghtml	C:/Meus%20Sites/wdadadad/g1.globo.com/mundo/noticia/2022/09/19/19-de-setembro-a-surpreendente-coincidencia-de-datas-de-grandes-terremotos-no-mexico.html	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:30	1268124/1268124	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Sep%202022%2021:07:28%20GMT	https://g1.globo.com/mundo/noticia/2022/09/19/bolsonaro-funeral-da-rainha-elizabeth-ii.ghtml	C:/Meus%20Sites/wdadadad/g1.globo.com/mundo/noticia/2022/09/19/bolsonaro-funeral-da-rainha-elizabeth-ii.html	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:30	230554/230554	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2020%20Jul%202022%2018:17:23%20GMT	https://s3.glbimg.com/v1/AUTH_f7772c2cb2fd4af2bb8929c0ae6fdba7/dsframework/build/latest/client/bastian-202207624574b46008bd95a9136f9bcc685f26.js	C:/Meus%20Sites/wdadadad/s3.glbimg.com/v1/AUTH_f7772c2cb2fd4af2bb8929c0ae6fdba7/dsframework/build/latest/client/bastian-202207624574b46008bd95a9136f9bcc685f26.js	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:30	779987/779987	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2024%20Aug%202022%2014:41:43%20GMT	https://s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/7e9b1082-693b-4d84-aec4-c80ec3ca1364.js	C:/Meus%20Sites/wdadadad/s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/7e9b1082-693b-4d84-aec4-c80ec3ca1364.js	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:31	63571/63571	---MCZ	200	added ('OK')	text/css	date:Wed,%2024%20Aug%202022%2014:41:48%20GMT	https://s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/7e9b1082-693b-4d84-aec4-c80ec3ca1364.css	C:/Meus%20Sites/wdadadad/s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/7e9b1082-693b-4d84-aec4-c80ec3ca1364.css	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:31	38038/38038	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%2261841726-9496%22	https://p.glbimg.com/api/stable/api.min.js	C:/Meus%20Sites/wdadadad/p.glbimg.com/api/stable/api.min.js	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:32	8291/8291	---M-Z	200	added ('OK')	application/javascript	etag:%22aff953eff3a20d542191805d54de5740%22	https://news.files.bbci.co.uk/ws/partner-analytics/js/pageTracker.min.js	C:/Meus%20Sites/wdadadad/news.files.bbci.co.uk/ws/partner-analytics/js/pageTracker.min.js	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:32	21064/21064	---M-Z	200	added ('OK')	text/css	etag:%2262bc602f-5248%22	https://s.glbimg.com/gl/ba/css/barra-globocom.min.css	C:/Meus%20Sites/wdadadad/s.glbimg.com/gl/ba/css/barra-globocom.min.css	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:32	33012/33012	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%2262bc602f-80f4%22	https://s.glbimg.com/gl/ba/js/barra-globocom.min.js	C:/Meus%20Sites/wdadadad/s.glbimg.com/gl/ba/js/barra-globocom.min.js	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:32	11214/11214	---MCZ	200	added ('OK')	text/css	date:Mon,%2020%20Jun%202022%2019:49:55%20GMT	https://s3.glbimg.com/v1/AUTH_89c6d9f49eec4e768bc6ccddcb31a34b/lgpd-lib/lgpd-lib.min.css	C:/Meus%20Sites/wdadadad/s3.glbimg.com/v1/AUTH_89c6d9f49eec4e768bc6ccddcb31a34b/lgpd-lib/lgpd-lib.min.css	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:33	47255/47255	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2020%20Jun%202022%2019:49:46%20GMT	https://s3.glbimg.com/v1/AUTH_89c6d9f49eec4e768bc6ccddcb31a34b/lgpd-lib/lgpd-lib.min.js	C:/Meus%20Sites/wdadadad/s3.glbimg.com/v1/AUTH_89c6d9f49eec4e768bc6ccddcb31a34b/lgpd-lib/lgpd-lib.min.js	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:34	93636/93636	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2009%20Oct%202018%2019:06:54%20GMT	https://s3.glbimg.com/cdn/libs/jquery/1.8.3/jquery.min.js	C:/Meus%20Sites/wdadadad/s3.glbimg.com/cdn/libs/jquery/1.8.3/jquery.min.js	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
18:07:34	4166/4166	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Sep%202022%2021:07:34%20GMT	https://g1.globo.com/mundo/noticia/2022/09/19/;path=/	C:/Meus%20Sites/wdadadad/g1.globo.com/mundo/noticia/2022/09/19/;path=/index.html	(from https://g1.globo.com/mundo/noticia/2022/09/19/elizabeth-2a-imagem-inedita-da-rainha-e-divulgada-na-vespera-do-funeral.ghtml)
